Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,TTL,AVG
Todd Gurley,RB,LAR,6,4,7,8,4,1,8,bye,3,7,4,7,7,5,3,13,-,87,5.8
Eric Ebron,TE,DET,3,5,7,4,4,3,bye,6,4,3,7,4,4,11,7,8,6,86,5.4
Danny Amendola,WR,NE,7,-,5,7,8,5,4,6,bye,4,9,4,4,9,4,3,7,86,5.7
Jared Cook,TE,OAK,5,6,6,8,6,3,7,5,9,bye,5,5,5,6,4,2,4,86,5.4
Robert Woods,WR,LAR,5,4,7,6,8,7,7,bye,5,10,11,-,-,-,7,8,0,85,6.5
Martavis Bryant,WR,PIT,6,4,8,5,8,3,2,-,bye,5,4,6,6,10,6,4,7,84,5.6
Sterling Shepard,WR,NYG,8,4,10,5,2,-,-,bye,9,13,-,-,6,3,16,8,-,84,7.6
Melvin Gordon,RB,LAC,6,8,2,3,8,12,4,2,bye,8,2,3,4,3,8,3,7,83,5.2
Keelan Cole,WR,JAC,2,3,4,6,1,2,3,bye,5,8,6,7,3,3,9,13,8,83,5.2
Eric Decker,WR,TEN,8,5,5,2,6,9,2,bye,4,3,3,4,6,5,5,10,6,83,5.2
Adam Humphries,WR,TB,bye,3,10,7,5,7,3,6,2,4,4,6,4,3,5,3,11,83,5.2
Kyle Rudolph,TE,MIN,3,6,2,4,9,9,7,7,bye,7,7,4,5,5,2,1,3,81,5.1
Paul Richardson,WR,SEA,7,5,7,3,5,bye,2,7,3,2,8,7,4,7,7,4,2,80,5.0
JuJu Smith-Schuster,WR,PIT,0,4,6,4,6,3,3,10,bye,7,8,-,5,-,6,7,10,79,5.6
Benjamin Watson,TE,BAL,1,8,3,6,4,8,5,4,10,bye,1,3,5,1,4,6,10,79,4.9
Terrance Williams,WR,DAL,7,5,4,6,3,bye,3,3,9,4,7,5,3,6,5,4,4,78,4.9
Kelvin Benjamin,WR,BUF,5,8,2,4,6,13,6,7,-,6,1,-,-,8,2,7,3,78,5.6
Josh Doctson,WR,WAS,0,1,2,3,bye,3,5,3,5,7,7,4,5,6,4,13,10,78,4.9
LeSean McCoy,RB,BUF,6,7,7,3,9,bye,7,7,1,5,1,4,5,0,5,7,3,77,4.8
Cameron Brate,TE,TB,bye,3,4,6,9,8,9,5,4,3,3,2,6,1,5,4,5,77,4.8
Charles Clay,TE,BUF,9,3,6,7,3,bye,-,-,-,3,4,4,3,5,9,10,8,74,5.7
Zay Jones,WR,BUF,4,6,2,5,6,bye,9,5,7,-,7,10,7,0,2,1,3,74,4.9
Austin Seferian-Jenkins,TE,NYJ,-,-,6,4,8,11,5,5,2,9,bye,7,3,4,2,8,-,74,5.7
Roger Lewis,WR,NYG,6,2,1,0,2,2,6,bye,3,4,4,7,3,11,10,11,0,72,4.5
James White,RB,NE,5,8,1,12,9,7,5,6,bye,3,1,2,6,4,3,-,-,72,5.1
Jeremy Maclin,WR,BAL,4,5,5,6,8,-,-,5,9,bye,5,5,8,11,1,-,-,72,6.0
Tarik Cohen,RB,CHI,12,9,4,4,1,3,3,3,bye,2,6,2,4,2,6,2,8,71,4.4
Theo Riddick,RB,DET,7,3,9,2,5,7,bye,2,4,3,2,2,5,10,3,4,3,71,4.4
Mark Ingram,RB,NO,5,5,4,8,bye,5,5,6,1,0,4,3,7,5,6,3,4,71,4.4
Tyler Lockett,WR,SEA,3,9,3,5,4,bye,7,8,8,2,5,1,2,5,3,2,4,71,4.4
Ted Ginn,WR,NO,5,6,3,2,bye,4,7,4,5,1,6,11,3,2,-,5,6,70,4.7
Sammy Watkins,WR,LAR,5,2,7,2,4,4,5,bye,2,3,4,9,4,7,5,7,0,70,4.4
Tyrell Williams,WR,LAC,7,4,7,6,2,3,1,6,bye,5,1,3,3,4,7,6,4,69,4.3
Jaron Brown,WR,ARI,0,11,6,12,6,1,5,bye,1,6,3,1,0,5,3,4,5,69,4.3
Deonte Thompson,WR,BUF,2,5,2,9,0,bye,4,1,10,4,8,2,8,1,4,5,3,68,4.3
Vernon Davis,TE,WAS,1,1,5,3,bye,4,4,4,9,11,6,1,2,7,4,3,3,68,4.3
Torrey Smith,WR,PHI,3,8,5,3,4,2,1,2,2,bye,4,5,7,11,3,5,3,68,4.3
Jerick McKinnon,RB,MIN,3,5,2,2,6,6,3,10,bye,2,7,3,5,3,8,2,1,68,4.3
Pierre Garcon,WR,SF,10,5,10,8,11,12,7,4,-,-,bye,-,-,-,-,-,-,67,8.4
Travis Benjamin,WR,LAC,4,3,8,5,3,1,1,9,bye,3,1,3,6,4,4,5,5,65,4.1
Austin Hooper,TE,ATL,2,2,2,7,bye,9,1,6,6,6,2,5,4,4,2,4,3,65,4.1
Ryan Grant,WR,WAS,6,2,4,3,bye,5,3,7,3,3,3,2,9,1,3,6,5,65,4.1
Corey Davis,WR,TEN,10,3,-,-,-,-,-,bye,5,10,7,4,4,6,5,9,2,65,5.9
Seth Roberts,WR,OAK,1,1,5,5,4,3,6,0,2,bye,9,3,6,3,5,6,6,65,4.1
Jesse James,TE,PIT,8,5,4,3,5,0,0,3,bye,2,8,4,2,12,5,1,2,64,4.0
Cole Beasley,WR,DAL,5,8,1,6,6,bye,2,3,6,3,4,3,3,5,5,3,-,63,4.2
Kareem Hunt,RB,KC,5,3,1,4,4,6,4,5,5,bye,4,1,5,3,9,4,0,63,3.9
George Kittle,TE,SF,6,2,3,3,9,8,2,4,5,-,bye,2,3,2,5,3,6,63,4.2
