Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,TTL,AVG
Robby Anderson,WR,NYJ,57,43,49,55,39,58,45,54,50,56,bye,57,62,34,59,61,33,812,50.8
Jordy Nelson,WR,OAK,76,7,67,51,49,61,51,0,49,64,62,52,50,70,70,27,0,806,50.4
Vernon Davis,TE,WAS,27,55,56,35,bye,48,29,48,47,64,62,65,54,42,49,67,55,803,50.2
Todd Gurley,RB,LAR,48,44,63,55,56,49,55,bye,40,54,54,69,55,45,45,64,0,796,49.8
Jared Cook,TE,OAK,47,45,41,48,34,46,67,46,53,bye,54,59,50,54,59,52,41,796,49.8
Jameis Winston,QB,TB,bye,65,53,64,72,15,72,67,29,0,0,0,76,71,61,67,83,795,49.7
Zay Jones,WR,BUF,66,49,55,44,66,bye,55,55,40,0,53,57,65,41,44,53,50,793,49.6
Golden Tate,WR,DET,63,43,63,52,55,46,bye,44,35,36,48,52,51,56,47,52,48,791,49.4
Austin Hooper,TE,ATL,47,41,49,59,bye,52,52,50,50,54,39,44,34,50,54,54,58,787,49.2
Carlos Hyde,RB,CLE,45,40,61,58,33,56,51,45,56,46,0,64,50,41,51,44,45,786,49.1
Stefon Diggs,WR,MIN,58,61,52,48,49,0,0,64,bye,51,53,66,48,70,46,53,62,781,48.8
Tyreek Hill,WR,KC,50,47,39,58,46,42,40,53,48,bye,64,48,42,69,63,70,0,779,48.7
Sammy Watkins,WR,KC,38,45,44,60,59,48,67,0,33,50,49,64,58,45,52,66,0,778,48.6
Zach Ertz,TE,PHI,60,60,75,60,57,49,53,64,0,bye,60,65,45,0,60,56,14,778,48.6
Evan Engram,TE,NYG,48,43,57,67,57,38,47,bye,58,52,58,49,53,63,74,13,0,777,48.6
Davante Adams,WR,GB,67,71,67,40,56,65,48,bye,56,54,64,48,49,64,27,0,0,776,48.5
Marquise Goodwin,WR,SF,50,42,59,9,55,61,39,43,67,48,bye,54,58,52,63,50,21,771,48.2
Christian McCaffrey,RB,CAR,47,43,41,48,37,61,53,38,53,45,bye,50,40,43,53,53,52,757,47.3
Lamar Miller,RB,HOU,64,49,50,57,56,44,bye,62,52,41,52,48,65,49,31,20,17,757,47.3
Mohamed Sanu,WR,ATL,48,48,57,31,bye,0,51,60,43,48,47,52,45,54,52,59,61,756,47.3
Josh Doctson,WR,WAS,20,29,36,17,bye,19,54,47,56,69,60,71,60,46,52,69,51,756,47.3
Keelan Cole,WR,JAC,19,44,37,46,27,41,41,bye,49,69,45,58,49,40,53,77,60,755,47.2
Seth Roberts,WR,OAK,55,34,45,50,50,42,72,0,35,bye,59,57,46,55,66,52,34,752,47.0
Jermaine Gresham,TE,ARI,55,0,55,73,40,59,30,bye,69,72,45,50,33,49,0,68,52,750,46.9
Melvin Gordon,RB,LAC,45,48,33,42,65,58,40,33,bye,47,37,42,53,47,53,53,54,750,46.9
Rishard Matthews,WR,TEN,52,48,62,34,50,53,57,bye,42,78,52,0,0,46,57,64,51,746,46.6
Delanie Walker,TE,TEN,53,56,50,31,46,44,38,bye,32,67,47,43,35,50,56,62,34,744,46.5
Cooper Kupp,WR,LAR,39,30,40,49,63,36,63,bye,39,56,55,61,51,45,50,65,0,742,46.4
Randall Cobb,WR,GB,63,54,0,33,47,53,37,bye,49,37,48,38,41,57,68,61,55,741,46.3
Marqise Lee,WR,JAC,53,58,49,57,34,55,47,bye,66,71,63,58,58,58,11,0,0,738,46.1
Eric Decker,WR,NE,60,44,61,34,49,58,66,0,23,34,22,48,48,44,55,49,41,736,46.0
Tyler Higbee,TE,LAR,53,41,61,47,48,46,54,bye,50,54,44,48,38,34,50,55,12,735,45.9
Torrey Smith,WR,CAR,48,62,58,57,42,35,41,32,31,0,42,41,58,67,51,55,15,735,45.9
Jimmy Graham,TE,GB,40,53,48,46,42,0,49,49,57,44,48,46,42,38,46,40,42,730,45.6
Mitch Trubisky,QB,CHI,0,0,0,0,61,80,38,67,bye,60,63,55,37,76,69,64,56,726,45.4
LeSean McCoy,RB,BUF,54,40,43,43,54,bye,57,50,55,24,42,49,41,50,41,50,29,722,45.1
Julio Jones,WR,ATL,48,48,58,15,bye,45,50,59,43,43,0,46,42,54,54,57,54,716,44.8
Mike Wallace,WR,PHI,47,48,50,52,34,70,5,0,58,bye,41,50,47,40,49,58,65,714,44.6
Amari Cooper,WR,OAK,61,48,44,53,55,55,78,63,57,bye,67,28,0,15,0,44,42,710,44.4
JuJu Smith-Schuster,WR,PIT,25,38,51,54,65,44,31,51,bye,53,67,0,54,0,66,52,56,707,47.1
Benjamin Watson,TE,NO,40,50,40,43,59,51,52,32,67,0,26,41,30,33,42,48,45,699,43.7
Nick Boyle,TE,BAL,45,42,40,49,44,44,47,55,0,bye,43,47,43,41,51,49,56,696,43.5
Roger Lewis,WR,NYG,43,16,11,14,45,48,50,bye,47,54,52,48,51,75,81,60,0,695,43.4
Terrance Williams,WR,DAL,38,49,33,47,55,bye,41,41,55,45,40,32,47,35,41,59,34,692,43.3
Tyler Lockett,WR,SEA,26,61,66,50,38,bye,40,39,55,44,47,46,29,39,41,35,36,692,43.3
Sterling Shepard,WR,NYG,56,56,68,67,24,0,0,bye,63,66,0,0,61,77,85,65,0,688,43.0
Martavis Bryant,WR,OAK,50,47,45,48,62,33,36,0,0,37,45,58,40,71,36,44,33,685,42.8
