Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,TTL,AVG
Shane Vereen,RB,NO,31,17,19,22,23,12,16,0,19,30,23,15,22,24,31,6,15,325,20.3
Jeff Heuerman,TE,DEN,17,23,15,17,bye,17,15,22,24,32,0,0,14,25,25,37,38,321,20.1
Drew Stanton,QB,CLE,0,0,0,0,0,0,23,0,77,80,0,0,0,0,0,69,71,320,20.0
Maxx Williams,TE,BAL,17,28,0,0,0,9,0,0,32,bye,34,28,30,33,36,38,30,315,19.7
Zach Miller,TE,CHI,40,48,32,48,42,55,25,24,bye,0,0,0,0,0,0,0,0,314,28.5
Marlon Mack,RB,IND,17,11,0,0,17,14,32,39,27,25,bye,20,30,17,24,15,22,310,19.4
Matt Breida,RB,SF,12,9,16,26,35,17,15,21,17,17,bye,7,24,32,19,23,20,310,19.4
Tyler Boyd,WR,CIN,42,0,30,39,5,bye,0,0,0,0,22,15,15,30,0,49,60,307,19.2
Richard Rodgers,TE,PHI,5,10,10,10,6,11,6,0,33,32,37,37,29,40,38,2,0,306,19.1
Adrian Peterson,RB,WAS,9,16,14,6,bye,48,26,0,59,36,37,50,0,0,0,0,0,301,25.1
Niles Paul,TE,JAC,5,36,33,25,0,16,9,4,0,0,34,32,17,16,19,37,18,301,18.8
Trey Burton,TE,CHI,14,14,19,9,16,13,16,21,47,0,13,0,21,48,11,10,28,300,18.8
Chris Ivory,RB,BUF,25,27,25,34,15,28,38,0,39,8,6,2,9,12,31,0,0,299,18.7
Gerald Everett,TE,LAR,29,16,11,21,26,18,18,bye,15,20,19,24,18,12,8,11,33,299,18.7
Ryan Fitzpatrick,QB,TB,bye,6,0,0,0,55,0,0,30,71,66,71,0,0,0,0,0,299,18.7
J.D. McKissic,RB,SEA,0,0,0,10,18,bye,23,16,30,20,50,29,9,31,36,2,22,296,18.5
Chris Conley,WR,KC,65,46,43,71,68,0,0,0,0,bye,0,0,0,0,0,0,0,293,26.6
Chris Manhertz,TE,CAR,12,14,15,17,29,20,27,26,5,27,bye,29,20,20,15,7,8,291,18.2
Devontae Booker,RB,DEN,0,0,0,8,bye,23,11,25,22,23,48,26,11,27,23,30,14,291,18.2
Doug Martin,RB,OAK,0,0,0,0,26,37,43,39,18,36,37,13,0,19,0,17,4,289,18.1
Mack Hollins,WR,PHI,5,17,8,9,14,9,8,18,30,bye,10,38,17,38,13,9,44,287,17.9
Kendrick Bourne,WR,SF,3,0,0,0,0,0,23,24,40,29,bye,33,25,31,31,26,18,283,17.7
Josh Reynolds,WR,LAR,17,2,6,7,11,6,1,bye,17,10,8,61,42,26,18,2,47,281,17.6
Nick Vannett,TE,SEA,8,14,6,18,20,bye,32,18,15,15,20,39,33,13,7,20,0,278,17.4
Jeremy Kerley,WR,BUF,0,44,34,46,36,47,29,35,6,0,0,0,0,0,0,0,0,277,23.1
Ty Montgomery,RB,GB,74,65,65,5,0,20,7,bye,24,14,0,0,0,0,0,0,0,274,24.9
Tommy Bohanon,RB,JAC,26,9,36,18,12,22,21,bye,22,9,29,7,8,18,25,8,3,273,17.1
Vance McDonald,TE,PIT,18,0,16,30,15,31,29,0,bye,30,0,0,0,35,0,29,37,270,16.9
Elijah McGuire,RB,NYJ,0,11,12,19,36,25,7,3,20,36,bye,18,19,1,21,10,29,267,16.7
Patrick DiMarco,RB,BUF,20,13,15,30,16,bye,16,28,9,14,8,17,5,16,24,13,22,266,16.6
Austin Traylor,TE,DEN,0,0,0,0,bye,0,0,0,0,0,53,33,53,45,45,26,10,265,37.9
Mike Glennon,QB,ARI,67,64,65,68,0,0,0,0,0,0,0,0,0,0,0,0,0,264,16.5
Michael Campanaro,WR,TEN,13,8,15,20,14,33,32,0,0,0,6,0,8,18,32,22,42,263,16.4
Brice Butler,WR,ARI,35,22,7,22,22,0,23,18,27,22,18,16,12,0,0,0,19,263,16.4
Josh Gordon,WR,CLE,0,0,0,0,0,0,0,0,bye,0,0,0,48,53,55,49,54,259,16.2
Willie Snead,WR,BAL,0,0,0,0,0,21,0,4,18,36,14,19,23,22,37,38,27,259,16.2
Jordan Taylor,WR,DEN,0,0,0,7,bye,32,44,45,0,0,2,4,0,4,16,53,51,258,16.1
Jarius Wright,WR,CAR,15,13,18,4,2,29,40,14,0,15,11,16,13,26,16,12,12,256,16.0
Corey Clement,RB,PHI,0,1,7,19,23,10,12,19,28,bye,19,15,28,27,10,27,11,256,16.0
Kaelin Clay,WR,BUF,0,5,15,13,41,bye,0,6,8,24,0,49,25,3,5,18,42,254,16.9
Brandon Marshall,WR,SEA,48,48,65,66,27,0,0,0,0,0,0,0,0,0,0,0,0,254,23.1
Peyton Barber,RB,TB,bye,16,0,4,0,0,3,3,23,7,3,10,52,31,32,25,45,254,15.9
Travis Rudolph,WR,NYG,0,0,0,0,0,23,33,bye,4,0,27,33,0,0,0,58,75,253,23.0
Josh Malone,WR,CIN,0,0,0,0,0,bye,13,19,31,30,18,27,33,26,25,16,11,249,15.6
Taywan Taylor,WR,TEN,6,12,26,24,32,30,32,bye,7,14,18,9,19,6,4,2,5,246,15.4
Daniel Brown,TE,CHI,0,0,0,0,0,0,0,16,bye,38,32,30,11,19,35,39,22,242,15.1
Kerwynn Williams,RB,KC,9,18,1,2,5,4,14,0,4,1,9,5,31,38,31,33,36,241,15.1
Adam Shaheen,TE,CHI,8,5,15,8,11,19,19,19,bye,31,46,17,9,32,0,0,0,239,14.9
James O'Shaughnessy,TE,JAC,1,12,22,17,18,18,9,bye,5,9,18,9,4,16,35,35,11,239,14.9
Aaron Jones,RB,GB,0,0,0,30,53,43,44,bye,20,6,0,0,2,8,26,4,0,236,14.8
Tre McBride,WR,NYJ,0,2,0,0,43,58,20,42,0,7,19,43,0,0,0,0,0,234,26.0
Mike Williams,WR,LAC,0,0,0,0,0,11,14,22,bye,27,41,1,0,35,30,26,27,234,14.6
Jordan Reed,TE,WAS,55,40,0,13,bye,54,50,21,0,0,0,0,0,0,0,0,0,233,17.9
ArDarius Stewart,WR,NYJ,38,8,5,6,11,14,10,0,18,10,bye,9,37,15,14,14,22,231,14.4
Rod Smith,RB,DAL,2,4,3,1,3,bye,13,3,1,38,30,34,27,29,35,7,0,230,14.4
T.J. Yeldon,RB,JAC,0,0,0,0,0,0,23,bye,35,31,20,34,6,4,29,40,8,230,14.4
Johnny Holton,WR,OAK,1,4,7,12,4,3,6,13,7,bye,13,46,51,27,12,12,12,230,14.4
Tavon Austin,WR,DAL,7,9,15,15,16,9,19,0,29,11,2,27,11,14,14,6,24,228,14.3
Derrick Coleman,RB,ARI,13,14,19,15,0,5,5,14,14,15,17,14,13,24,16,15,14,227,14.2
Curtis Samuel,WR,CAR,12,12,36,0,15,23,19,18,49,42,bye,0,0,0,0,0,0,226,20.5
DeAndre Washington,RB,OAK,16,13,16,6,0,5,25,32,9,bye,24,14,14,14,11,17,7,223,13.9
Michael Roberts,TE,DET,6,17,9,22,5,5,bye,19,21,14,16,12,20,9,26,20,0,221,13.8
Sean McGrath,TE,DET,0,5,10,6,20,25,23,5,0,18,15,7,5,17,13,28,22,219,13.7
Bryce Petty,QB,MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,21,74,65,59,219,13.7
Jalen Richard,RB,OAK,14,17,6,6,25,17,26,26,12,bye,11,5,13,15,11,9,6,219,13.7
Thomas Rawls,RB,NYJ,0,16,1,0,32,0,30,41,42,29,0,1,3,1,0,10,13,219,13.7
Tanner McEvoy,WR,SEA,9,15,25,13,14,bye,17,20,17,18,13,9,11,17,11,6,0,215,13.4
C.J. Uzomah,TE,CIN,0,0,17,21,17,bye,13,10,11,8,18,17,9,14,23,23,12,213,13.3
Odell Beckham Jr.,WR,NYG,0,34,55,68,55,0,0,bye,0,0,0,0,0,0,0,0,0,212,19.3
Nick Foles,QB,PHI,0,0,0,0,0,0,0,9,14,bye,0,11,0,23,68,68,19,212,13.3
Pharoh Cooper,WR,LAR,22,4,9,9,12,4,11,bye,13,10,5,11,10,7,16,1,64,208,13.0
Alfred Morris,RB,SF,8,1,0,3,5,0,9,6,1,22,25,20,36,33,27,0,8,204,12.8
CJ Ham,RB,MIN,9,5,22,7,6,6,12,17,bye,12,19,15,25,8,20,14,7,204,12.8
De'Anthony Thomas,WR,KC,8,4,7,3,11,36,4,14,39,bye,28,3,3,8,8,16,7,199,12.4
Austin Ekeler,RB,LAC,3,0,6,3,13,7,18,17,bye,23,32,27,20,18,10,0,0,197,12.3
Darrell Daniels,TE,IND,13,15,17,22,49,6,10,5,5,12,bye,0,0,0,0,8,34,196,12.3
Rex Burkhead,RB,NE,10,8,0,0,0,0,13,27,bye,36,19,28,22,17,16,0,0,196,12.3
Damien Williams,RB,KC,0,3,10,11,10,18,22,8,30,32,27,24,0,0,0,0,0,195,12.2
Damiere Byrd,WR,CAR,19,23,13,4,0,0,0,0,0,0,bye,0,23,38,51,20,0,191,12.7
Amara Darboh,WR,SEA,5,14,11,16,18,bye,21,10,14,25,12,8,8,4,10,7,8,191,11.9
Markus Wheaton,WR,PHI,0,0,40,38,46,0,0,0,0,2,9,5,1,7,29,4,8,189,11.8
Derek Carrier,TE,OAK,13,9,24,16,6,13,22,0,21,0,0,12,6,4,17,5,20,188,11.8
Alex Erickson,WR,CIN,7,37,13,8,31,bye,9,13,13,7,11,9,11,3,15,0,0,187,11.7
Roosevelt Nix,RB,PIT,10,11,4,13,13,17,22,18,bye,9,5,5,5,10,7,16,17,182,11.4
Tanner Gentry,WR,CHI,0,8,0,0,0,76,33,65,bye,0,0,0,0,0,0,0,0,182,45.5
Aaron Ripkowski,RB,GB,22,8,3,13,7,13,14,bye,3,22,10,12,12,11,9,12,10,181,11.3
Anthony Sherman,RB,KC,12,1,9,12,25,9,9,8,3,bye,13,6,2,8,3,8,53,181,11.3
Michael Burton,RB,CHI,6,6,14,13,6,15,11,19,bye,7,12,2,9,19,11,19,11,180,11.3
Mike Davis,RB,SEA,0,0,0,0,0,bye,0,0,0,0,16,0,45,30,20,43,22,176,25.1
Benny Cunningham,RB,CHI,4,0,5,16,14,1,0,3,bye,28,17,23,7,11,23,13,10,175,10.9
Luke Stocker,TE,TEN,0,16,6,14,5,10,8,17,20,19,0,0,0,0,11,15,34,175,11.7
Jerell Adams,TE,NYG,2,1,0,6,14,11,2,bye,8,7,11,8,7,5,19,27,46,174,10.9
Geoff Swaim,TE,DAL,9,0,7,4,9,bye,22,17,10,0,10,7,10,22,12,21,13,173,10.8
Wendell Smallwood,RB,PHI,15,14,43,35,0,0,24,13,6,bye,0,0,0,0,0,0,22,172,10.8
Mike Gillislee,RB,NE,24,30,21,18,24,13,13,13,bye,0,0,0,0,0,0,15,0,171,10.7
Xavier Grimble,TE,PIT,1,16,8,2,0,0,28,26,bye,4,9,20,18,6,13,14,6,171,10.7
Antony Auclair,TE,TB,bye,0,0,0,1,0,0,0,0,0,21,16,14,11,23,35,49,170,10.6
Dalvin Cook,RB,MIN,51,37,54,27,0,0,0,0,bye,0,0,0,0,0,0,0,0,169,15.4
Zach Line,RB,NO,0,0,0,0,bye,13,18,8,16,19,10,7,17,11,21,18,11,169,14.1
Jacquizz Rodgers,RB,TB,bye,34,25,38,13,6,2,6,0,6,2,25,5,0,2,2,2,168,10.5
Andy Janovich,RB,DEN,17,7,8,11,bye,7,5,7,9,5,9,13,12,12,18,13,11,164,10.3
Bryce Treggs,WR,PHI,0,0,0,0,42,28,11,52,0,24,0,5,0,0,0,0,0,162,18.0
Noah Brown,WR,DAL,0,5,8,7,0,bye,19,5,0,7,9,7,16,24,18,11,22,158,9.9
Alfred Blue,RB,HOU,0,0,0,4,0,0,bye,11,0,13,0,21,9,0,31,31,38,158,9.9
Logan Thomas,TE,BUF,6,1,11,9,20,bye,29,21,21,9,0,0,22,3,3,0,0,155,9.7
Michael Floyd,WR,NO,0,0,0,0,32,38,0,6,0,2,16,5,6,5,14,7,21,152,9.5
Chris Carson,RB,SEA,26,50,41,35,0,bye,0,0,0,0,0,0,0,0,0,0,0,152,13.8
Malcolm Brown,RB,LAR,11,5,0,7,9,12,22,bye,18,0,0,0,0,3,17,5,41,150,9.4
Brandon Tate,WR,NO,2,0,6,0,34,0,2,5,0,3,47,2,0,3,4,20,20,148,9.3
D'Onta Foreman,RB,HOU,2,17,17,24,9,23,bye,1,20,16,18,0,0,0,0,0,0,147,13.4
Logan Paulsen,TE,ATL,3,5,27,1,3,3,11,0,0,12,0,6,8,6,9,30,23,147,10.5
Jay Prosch,RB,HOU,0,28,7,4,2,6,bye,8,5,15,3,6,12,11,7,24,8,146,9.1
Marcus Johnson,WR,SEA,7,0,7,9,14,6,10,21,20,0,13,0,0,0,0,0,39,146,9.1
Leonte Carroo,WR,MIA,bye,2,1,3,4,24,50,50,0,0,0,5,4,1,0,1,0,145,9.7
Blake Bell,TE,MIN,2,2,10,12,3,12,12,12,bye,6,11,5,27,31,0,0,0,145,11.2
Derek Watt,RB,LAC,8,8,12,6,6,12,13,5,bye,13,15,7,7,10,3,6,12,143,8.9
D.J. Foster,RB,ARI,0,0,0,0,0,0,0,bye,0,0,9,18,28,21,33,16,16,141,9.4
Isaiah McKenzie,WR,DEN,5,30,9,6,bye,12,0,13,13,1,0,0,5,0,0,15,27,136,8.5
Robert Kelley,RB,WAS,33,16,0,12,bye,0,27,12,26,10,0,0,0,0,0,0,0,136,12.4
Kevin Hogan,QB,WAS,0,19,0,14,34,67,0,0,0,0,0,0,0,0,0,0,0,134,8.4
Kasen Williams,WR,IND,12,0,20,17,34,39,6,6,0,0,bye,0,0,0,0,0,0,134,14.9
Ricky Seals-Jones,TE,ARI,0,0,0,0,1,0,0,bye,0,0,8,17,15,18,30,37,6,132,10.2
Dan Vitale,RB,CLE,4,6,10,5,14,11,10,7,bye,13,7,11,4,17,8,5,0,132,8.3
Jakeem Grant,WR,MIA,bye,1,3,5,33,6,8,15,0,0,0,2,2,9,6,11,31,132,8.3
Clive Walford,TE,NYJ,5,12,4,9,14,7,8,6,12,0,14,6,25,8,0,0,0,130,9.3
Keith Smith,RB,OAK,2,2,5,7,13,0,13,11,11,6,1,3,7,9,10,16,13,129,8.1
MarQueis Gray,TE,MIA,bye,3,2,3,18,12,7,4,2,2,6,7,17,15,12,7,10,127,7.9
Jeremy Sprinkle,TE,WAS,0,0,7,7,bye,0,0,0,24,23,15,18,2,2,3,14,11,126,7.9
Robert Turbin,RB,IND,14,28,21,19,21,21,0,0,0,0,bye,0,0,0,0,0,0,124,11.3
Paul Perkins,RB,NYG,17,28,34,27,0,0,0,bye,0,0,0,1,4,0,0,3,7,121,7.6
Alan Cross,TE,TB,bye,16,4,7,0,0,0,0,0,0,0,0,14,17,20,21,20,119,14.9
Travaris Cadet,RB,BUF,0,0,0,5,0,8,0,0,0,0,23,21,28,4,22,5,0,116,10.5
Ross Travis,TE,IND,8,6,4,4,14,6,13,10,5,0,19,1,0,7,10,5,2,114,7.1
Tommylee Lewis,WR,NO,11,14,16,15,bye,0,12,10,0,5,3,2,1,6,15,2,2,114,7.1
Hunter Sharp,WR,NYG,0,0,0,0,0,0,29,bye,0,0,0,0,0,0,0,14,65,108,27.0
Jaydon Mickens,WR,JAC,0,0,0,0,0,0,5,bye,3,10,9,7,0,1,30,41,1,107,10.7
Ryan Hewitt,RB,CIN,7,9,4,7,0,bye,0,0,6,5,14,14,13,4,9,10,4,106,6.6
Branden Oliver,RB,IND,11,7,33,12,0,0,0,5,0,0,0,0,0,0,2,20,16,106,6.6
Kapri Bibbs,RB,WAS,0,0,0,0,bye,0,0,0,0,0,0,0,0,0,16,35,54,105,35.0
Tyler Eifert,TE,CIN,54,50,0,0,0,bye,0,0,0,0,0,0,0,0,0,0,0,104,9.5
Trevor Davis,WR,GB,6,17,0,3,0,0,0,bye,6,7,1,3,1,3,1,16,39,103,6.4
Ryan Switzer,WR,OAK,2,6,2,8,3,0,11,12,6,6,4,2,5,2,4,3,26,102,6.4
Sean Mannion,QB,LAR,5,0,0,0,0,0,4,bye,13,0,0,0,0,0,15,0,65,102,6.4
Mike Thomas,WR,LAR,0,0,0,0,0,2,0,bye,0,0,8,7,1,5,16,2,60,101,6.3
Will Tye,TE,NE,37,42,22,0,0,0,0,0,bye,0,0,0,0,0,0,0,0,101,25.3
Neal Sterling,TE,NYJ,0,7,7,9,0,0,0,0,0,5,bye,4,7,8,11,11,32,101,7.8
Chad Williams,WR,ARI,0,10,13,0,0,0,0,bye,0,0,0,29,23,14,11,0,0,100,6.3
Chris Thompson,WR,HOU,0,0,0,10,3,0,bye,1,0,2,0,1,50,0,4,0,29,100,7.7
Paxton Lynch,QB,DEN,0,0,0,0,bye,0,0,0,0,0,0,33,0,0,0,0,65,98,6.1
Nathan Peterman,QB,BUF,0,0,0,0,0,bye,0,0,0,11,25,0,21,40,0,0,0,97,6.1
Elijhaa Penny,RB,ARI,1,7,2,4,3,4,0,bye,3,0,3,2,5,8,21,17,16,96,6.0
Jalston Fowler,RB,ATL,3,11,19,10,6,14,11,0,9,6,5,0,0,0,0,0,0,94,7.8
Sammie Coates,WR,HOU,0,26,0,0,11,11,6,4,0,17,0,0,0,0,6,4,8,93,5.8
Sam Bradford,QB,ARI,65,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,91,8.3
Tion Green,RB,IND,0,0,0,0,0,0,0,0,0,0,0,0,21,13,23,13,19,89,5.6
Darrius Heyward-Bey,WR,PIT,1,2,2,7,2,5,5,5,bye,0,4,8,1,0,31,13,3,89,5.6
Darren Sproles,RB,PHI,33,50,5,0,0,0,0,0,0,bye,0,0,0,0,0,0,0,88,8.0
Jacob Hollister,TE,NE,0,16,7,3,8,1,1,4,bye,2,3,8,7,2,3,13,9,87,5.4
Tyler Ervin,RB,HOU,50,27,8,1,0,0,bye,0,0,0,0,0,0,0,0,0,0,86,7.8
Jehu Chesson,WR,KC,0,0,0,0,0,0,0,0,4,bye,7,1,0,2,0,4,67,85,5.3
Griff Whalen,WR,OAK,0,0,0,0,0,0,58,25,0,bye,0,0,0,0,0,0,0,83,41.5
Jamize Olawale,RB,DAL,0,0,7,17,3,0,11,5,0,0,14,5,13,0,1,3,3,82,5.1
Kenjon Barner,RB,CAR,0,0,0,0,17,22,4,4,2,0,2,4,2,6,6,2,7,78,6.0
Jeremy Hill,RB,NE,10,15,14,12,11,0,8,7,0,0,0,0,0,0,0,0,0,77,7.0
Matt Cassel,QB,DET,0,0,0,18,59,0,0,0,0,0,0,0,0,0,0,0,0,77,4.8
Brian Quick,WR,WAS,6,0,1,0,bye,4,0,0,23,0,0,0,0,23,2,14,4,77,4.8
Marvin Hall,WR,ATL,0,0,0,0,bye,12,0,6,0,18,8,0,7,10,9,7,0,77,6.4
EJ Manuel,QB,OAK,0,0,0,20,56,0,0,0,0,bye,0,0,0,0,0,0,0,76,4.8
Maurice Harris,WR,WAS,0,0,0,0,bye,0,0,0,0,41,9,12,5,0,3,0,6,76,9.5
C.J. Prosise,RB,SEA,16,17,27,0,0,bye,2,0,0,13,0,0,0,0,0,0,0,75,6.8
David Fales,QB,MIA,bye,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,68,72,7.2
Landry Jones,QB,PIT,0,0,0,0,0,0,0,0,bye,0,4,0,0,0,0,7,59,70,4.4
James Conner,RB,PIT,8,4,0,6,6,5,6,4,bye,1,8,1,3,7,9,0,0,68,4.9
Tre Madden,RB,SEA,5,13,1,8,9,bye,8,15,8,0,0,0,0,0,0,0,0,67,6.1
Cody Core,WR,CIN,10,7,5,8,12,bye,21,0,2,0,1,0,0,0,0,0,0,66,4.1
Geno Smith,QB,LAC,0,0,0,0,0,0,0,0,4,0,0,0,62,0,0,0,0,66,4.1
Zach Zenner,RB,DET,0,0,7,19,9,9,bye,0,0,0,4,6,4,7,0,0,0,65,4.1
Justin Hunter,WR,PIT,0,0,0,9,4,0,0,20,bye,0,0,7,0,15,0,6,4,65,4.1
Freddie Martino,WR,TB,bye,0,0,0,0,0,0,0,0,13,7,3,4,4,7,9,18,65,8.1
Corey Grant,RB,JAC,0,3,12,5,1,2,8,bye,6,0,0,0,7,8,12,0,0,64,4.0
Marquis Bundy,WR,NYG,0,0,0,0,0,0,0,bye,0,0,0,0,0,0,0,0,64,64,64.0
Patrick Mahomes,QB,KC,0,0,0,0,0,0,0,0,0,bye,0,0,0,0,0,0,63,63,3.9
Orson Charles,TE,CLE,0,0,0,0,0,0,0,0,bye,0,0,0,3,7,6,12,35,63,12.6
Quan Bray,WR,HOU,4,6,33,1,5,0,8,1,0,0,0,0,0,0,0,0,0,58,5.3
Cobi Hamilton,WR,IND,0,0,0,0,0,0,0,0,0,0,bye,0,0,0,4,1,49,54,9.0
Matt LaCosse,TE,DEN,0,0,0,0,0,9,17,0,12,0,0,0,0,0,0,5,8,51,4.6
Dwayne Washington,RB,DET,14,7,0,0,0,0,bye,14,11,4,0,0,0,0,0,0,0,50,3.1
Jeff Janis,WR,CLE,3,1,0,1,0,1,0,0,0,1,0,0,1,0,0,12,30,50,3.1
Shane Smith,RB,NYG,8,4,0,0,0,0,0,bye,0,6,14,6,6,3,1,2,0,50,4.5
Byron Marshall,RB,WAS,0,0,0,0,bye,0,0,0,0,0,3,21,26,0,0,0,0,50,12.5
Cethan Carter,TE,CIN,0,0,2,9,16,bye,5,11,1,0,0,0,0,0,5,0,0,49,3.1
Cody Kessler,QB,JAC,0,0,0,0,0,0,38,0,0,7,0,3,0,0,0,0,0,48,3.0
Khari Lee,TE,BUF,0,0,0,0,0,bye,5,9,2,0,3,7,5,0,0,5,11,47,2.9
Alex Armah,RB,CAR,0,0,0,0,1,2,3,0,17,18,bye,0,6,0,0,0,0,47,3.4
Kevin White,WR,CHI,47,0,0,0,0,0,0,0,bye,0,0,0,0,0,0,0,0,47,4.3
David Johnson,RB,ARI,46,0,0,0,0,0,0,bye,0,0,0,0,0,0,0,0,0,46,4.2
Fozzy Whittaker,RB,CAR,1,1,6,6,3,2,0,0,0,0,bye,2,1,8,7,5,4,46,2.9
Brandon Bolden,RB,NE,0,0,0,0,0,0,0,0,bye,3,0,0,0,0,0,5,34,42,2.6
Nate Sudfeld,QB,PHI,0,0,0,0,0,0,0,0,0,bye,0,0,0,0,0,0,40,40,5.0
Joe Webb,QB,HOU,0,0,0,0,0,0,0,0,3,0,0,0,5,28,0,3,0,39,2.4
Stevan Ridley,RB,PIT,0,0,0,0,0,0,0,0,bye,0,0,0,0,0,0,10,29,39,13.0
Fitzgerald Toussaint,RB,PIT,0,0,0,0,0,0,0,0,bye,0,0,1,0,2,1,5,30,39,6.5
Garrett Griffin,TE,NO,0,0,0,0,bye,0,0,0,0,0,0,0,2,0,21,0,16,39,7.8
Pharaoh Brown,TE,OAK,0,0,0,0,0,0,0,0,0,bye,0,0,0,0,0,22,17,39,19.5
Cameron Artis-Payne,RB,CAR,0,0,0,0,0,1,0,10,1,12,bye,1,0,0,0,0,12,37,2.3
Kalif Raymond,WR,NYG,0,0,0,0,0,0,0,bye,0,0,2,1,0,8,23,0,0,34,3.8
Cole Hikutini,TE,SF,0,0,0,0,0,2,21,9,0,0,bye,0,0,0,0,0,0,32,5.3
Andre Roberts,WR,NYJ,2,4,1,4,0,5,4,0,2,0,0,1,0,0,0,0,8,31,1.9
Eric Saubert,TE,ATL,2,1,1,0,bye,1,0,0,2,0,3,3,2,0,5,0,10,30,1.9
Matt Slater,WR,NE,0,0,0,0,0,1,3,4,bye,0,0,0,0,0,3,2,16,29,1.8
Charone Peake,WR,NYJ,1,11,16,0,0,0,0,0,0,0,bye,0,0,0,0,0,0,28,2.5
Victor Bolden Jr.,WR,SF,0,1,2,12,3,3,0,0,6,1,bye,0,0,0,0,0,0,28,2.2
Nick Williams,WR,TEN,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1.8
Kyle Carter,TE,SEA,0,0,0,0,0,bye,0,0,0,0,0,0,0,0,18,8,2,28,9.3
Bernard Reedy,WR,TB,bye,7,4,2,4,1,2,3,2,0,0,0,2,0,0,0,0,27,2.5
AJ McCarron,QB,BUF,0,0,0,3,0,bye,0,0,0,0,0,0,0,9,14,0,0,26,1.6
Jordan Leslie,WR,DEN,0,0,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,26,8.7
Senorise Perry,RB,MIA,bye,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,13,26,1.6
Chad Henne,QB,KC,0,0,9,0,0,0,0,0,0,0,0,0,0,0,14,0,0,23,1.4
Vince Mayle,WR,BAL,0,1,0,2,9,5,3,1,0,bye,0,0,0,0,0,0,0,21,1.3
Quincy Adeboyejo,WR,BAL,0,0,0,0,0,0,0,0,0,bye,0,0,0,0,0,0,21,21,21.0
Stacy Coley,WR,MIN,2,0,0,0,0,16,2,0,bye,0,0,0,0,0,0,0,0,20,1.3
De'Angelo Henderson,RB,DEN,0,0,0,0,bye,0,0,0,0,0,0,0,0,0,0,5,15,20,1.3
Gavin Escobar,TE,MIA,bye,0,0,0,0,0,0,15,5,0,0,0,0,0,0,0,0,20,10.0
Brian Hill,RB,CIN,0,0,0,0,0,bye,0,0,0,0,0,0,0,7,5,7,0,19,1.7
Max McCaffrey,WR,SF,0,1,10,1,3,3,0,0,0,0,bye,0,0,0,0,0,0,18,2.3
Hakeem Valles,TE,DET,0,0,0,0,0,0,bye,0,0,0,0,0,0,0,0,0,18,18,18.0
John Ross,WR,CIN,0,5,0,0,0,bye,0,6,0,6,0,0,0,0,0,0,0,17,1.4
Shelton Gibson,WR,PHI,0,0,0,0,0,0,0,0,0,bye,0,4,0,0,0,0,13,17,1.1
David Fluellen,RB,TEN,0,5,0,2,2,0,0,bye,0,0,0,5,0,1,0,1,1,17,1.1
Isaac Whitney,WR,OAK,0,0,0,0,0,0,0,0,0,bye,0,0,15,0,2,0,0,17,3.4
Evan Baylis,TE,CAR,0,16,0,0,0,0,0,0,0,0,bye,0,0,0,0,0,0,16,16.0
Cooper Rush,QB,DAL,0,0,0,0,0,bye,12,0,0,0,3,0,0,0,0,0,0,15,0.9
Devante Mays,RB,GB,1,0,0,0,0,0,0,bye,0,0,5,0,0,0,0,0,9,15,0.9
Raheem Mostert,RB,SF,1,0,8,0,4,1,0,0,1,0,bye,0,0,0,0,0,0,15,1.4
Mack Brown,RB,MIN,0,0,10,0,0,4,0,0,bye,0,0,0,0,0,0,0,0,14,1.0
Marcus Murphy,RB,BUF,0,0,0,0,0,bye,0,0,0,0,0,0,0,0,0,0,14,14,14.0
Trey Edmunds,RB,NO,0,0,0,0,bye,0,0,0,0,13,0,0,0,0,0,0,0,13,0.8
MyCole Pruitt,TE,HOU,0,0,0,0,0,0,bye,0,0,0,0,0,0,13,0,0,0,13,6.5
Gabe Holmes,TE,ARI,0,0,0,0,0,0,0,bye,0,0,0,0,0,0,4,8,0,12,4.0
Sean Culkin,TE,LAC,11,0,0,0,0,0,0,0,bye,0,0,0,0,0,0,0,0,11,0.7
Matt Hazel,WR,IND,3,0,4,0,0,0,0,0,0,4,bye,0,0,0,0,0,0,11,1.6
Emanuel Byrd,TE,GB,0,0,0,0,0,0,0,bye,0,0,0,0,0,0,0,0,11,11,11.0
Krishawn Hogan,WR,IND,0,0,0,7,3,0,0,0,0,0,bye,0,0,0,0,0,0,10,1.3
Jake Rudock,QB,DET,0,0,0,0,0,0,bye,0,0,0,0,0,9,0,0,0,0,9,0.6
Matt Jones,RB,PHI,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.7
Teddy Bridgewater,QB,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,0.6
Taylor Heinicke,QB,CAR,0,0,0,0,0,0,0,0,0,0,bye,0,0,0,0,9,0,9,2.3
