Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,OWN
Jay Prosch (HOU),0,0,0,0,0,0,4,4,31,7.8,0,0,6,3.1,0.5,0.0%
Derrick Coleman (ARI),2,8,4.0,5,0,0,2,7,20,10.0,0,0,13,2.8,0.2,0.1%
De'Veon Smith (WAS),0,0,0,0,0,0,3,3,27,9.0,0,0,1,2.7,2.7,0.0%
Patrick DiMarco (BUF),2,-2,-1.0,0,0,0,7,10,28,4.0,0,0,9,2.6,0.3,0.1%
Keith Smith (OAK),0,0,0,0,0,0,5,5,26,5.2,0,0,9,2.6,0.3,0.0%
Andre Williams (FA),9,25,2.8,7,0,0,0,0,0,0,0,0,2,2.5,1.3,0.0%
David Fluellen (TEN),4,21,5.3,10,0,0,0,1,0,0,0,0,7,2.1,0.3,0.0%
Josh Ferguson (FA),1,5,5.0,5,0,0,3,4,16,5.3,0,0,4,2.1,0.5,0.5%
Bobby Rainey (FA),1,2,2.0,2,0,0,5,7,18,3.6,0,0,4,2.0,0.5,0.1%
Dan Vitale (CLE),0,0,0,0,0,0,3,5,19,6.3,0,0,9,1.9,0.2,0.0%
Michael Burton (CHI),4,9,2.3,7,0,0,2,4,8,4.0,0,0,8,1.7,0.2,0.0%
Matt Jones (PHI),5,14,2.8,5,0,0,0,0,0,0,0,0,2,1.4,0.7,0.1%
LeShun Daniels (FA),3,14,4.7,8,0,0,0,0,0,0,0,0,2,1.4,0.7,0.1%
Taiwan Jones (BUF),0,0,0,0,0,0,1,2,11,11.0,0,0,5,1.1,0.2,0.0%
Raheem Mostert (SF),6,30,5.0,16,0,0,0,0,0,0,0,1,9,1.0,0.1,0.1%
Terrell Watson (LAC),5,8,1.6,3,0,0,0,0,0,0,0,0,7,0.8,0.1,0.0%
Ryan Hewitt (CIN),0,0,0,0,0,0,2,2,22,11.0,0,0,5,0.6,0.1,0.0%
Joe Kerridge (GB),0,0,0,0,0,0,1,1,3,3.0,0,0,1,0.3,0.3,0.0%
John Kuhn (FA),1,2,2.0,2,0,0,0,0,0,0,0,0,1,0.2,0.2,0.0%
Justin Davis (LAR),1,1,1.0,1,0,0,0,0,0,0,0,0,1,0.1,0.1,0.0%
Aaron Stecker (ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Adrian Peterson (CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ahman Green (GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Albert Young (JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alvin Pearman (TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Anthony Alridge (WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Antonio Pittman (LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
B.J. Askew (TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Brad Hoover (CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Carey Davis (WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Chad Simpson (WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Chris Henry (SEA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Clifton Smith (CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Correll Buckhalter (DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Dan Kreider (ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Dantrell Savage (CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Deon Anderson (MIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DeShawn Wynn (NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Edgerrin James (SEA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fred Taylor (NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Gartrell Johnson (ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Gary Russell (OAK),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jamal Lewis (CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jason McKie (BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jason Wright (ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Javarris Williams (HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jeremi Johnson (CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Justin Fargas (DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Justin Griffith (HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kahlil Bell (GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kenneth Darby (STL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kenny Irons (CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kolby Smith (JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Korey Hall (ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kyle Eckel (NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ladell Betts (NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
LaMont Jordan (DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
LenDale White (DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Leonard Weaver (PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Louis Rankin (OAK),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Luke Lawton (OAK),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Madison Hedgecock (NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Marcus Mailei (NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Marcus Mason (LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Matt Lawrence (BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Naufahu Tahi (MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Oren O'Neal (OAK),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Quinton Ganther (BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
