Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,OWN
Terry Swanson (HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Anthony Manzo-Lewis (LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Detrez Newsome (LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Blake Mack (KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
J.D. Moore (KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Jordan Chunn (DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Ryan Nall (CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Kyle Lewis (GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Mike Boone (MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Ervin Phillips (TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Tanner Hudson (TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Shaun Wilson (TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Malik Williams (ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Luke McNitt (MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Reggie Bonnafon (CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Chris Ezeala (BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Justin Crawford (ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Jon Cunningham (ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0%
Jeffery Wilson (SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Marcus Martin (LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Dontrell Hilliard (CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Henry Poggi (NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Chris Warren III (OAK),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0%
De'Lance Turner (BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Mark Thompson (BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Keith Ford (BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Robert Martin (NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Ryan Yurachek (OAK),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Nick Holley (LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Sherman Badie (ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Dalyn Dawkins (TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
James Butler (OAK),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Gerald Holmes (SEA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Justin Stockton (SEA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Darren McFadden (FA),1,-2,-2.0,0,0,0,0,0,0,0,0,0,1,-0.2,-0.2,3.6%
Bronson Hill (GB),1,-2,-2.0,0,0,0,0,0,0,0,0,0,2,-0.2,-0.1,0.0%
Devante Mays (GB),4,1,0.3,2,0,0,3,3,0,0.0,0,1,2,-1.9,-1.0,0.1%
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
