Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,OWN
Willie Snead (BAL),8,16,92,11.5,26,2,0,0,0,0,1,8,7.2,0.9,3.6%
Amara Darboh (SEA),8,13,71,8.9,16,0,0,0,0,0,0,8,7.1,0.9,0.6%
Brittan Golden (FA),5,9,70,14.0,29,2,0,0,0,0,0,9,7.0,0.8,0.0%
Sammie Coates (HOU),6,11,70,11.7,38,1,0,0,0,0,0,7,7.0,1.0,0.1%
Pharoh Cooper (LAR),11,19,84,7.6,26,1,0,1,6,0,1,16,7.0,0.4,1.1%
Leonte Carroo (MIA),7,14,69,9.9,21,1,0,0,0,0,0,4,6.9,1.7,0.1%
Bryce Treggs (PHI),5,18,79,15.8,20,1,0,1,6,0,1,6,6.5,1.1,0.0%
Chad Williams (ARI),3,7,31,10.3,15,0,0,2,33,0,0,5,6.4,1.3,0.7%
Vince Mayle (BAL),0,1,0,0,0,0,0,2,2,1,0,11,6.2,0.6,0.0%
Markus Wheaton (PHI),3,17,46,15.3,22,2,0,0,0,0,0,7,4.6,0.7,0.1%
Jared Abbrederis (FA),3,7,44,14.7,25,1,0,0,0,0,0,4,4.4,1.1,0.0%
Michael Clark (FA),4,14,41,10.3,19,0,0,0,0,0,0,2,4.1,2.1,0.1%
Quan Bray (HOU),3,4,39,13.0,22,1,0,0,0,0,0,9,3.9,0.4,0.0%
Bernard Reedy (TB),2,2,21,10.5,15,0,0,3,17,0,0,11,3.8,0.3,0.0%
Tanner Gentry (CHI),3,6,35,11.7,15,0,0,0,0,0,0,4,3.5,0.9,0.0%
Noah Brown (DAL),4,9,33,8.3,14,0,0,0,0,0,0,7,3.3,0.5,0.1%
JoJo Natson (LAR),2,5,18,9.0,19,0,0,1,15,0,0,7,3.3,0.5,0.1%
Nick Williams (TEN),3,4,30,10.0,14,0,0,0,0,0,0,1,3.0,3.0,0.0%
Jordan Leslie (DEN),1,1,26,26.0,26,1,0,0,0,0,0,1,2.6,2.6,0.0%
Ryan Switzer (OAK),6,7,41,6.8,12,0,0,4,5,0,1,16,2.6,0.2,0.9%
Chris Matthews (FA),3,6,25,8.3,12,0,0,0,0,0,0,4,2.5,0.6,0.0%
Marcus Johnson (SEA),5,8,45,9.0,16,0,0,0,0,0,1,6,2.5,0.4,0.1%
DeAndrew White (DEN),1,7,24,24.0,24,1,0,0,0,0,0,2,2.4,1.2,0.0%
Jehu Chesson (KC),2,4,18,9.0,10,0,0,0,0,0,0,5,1.8,0.4,0.1%
Allen Robinson (CHI),1,1,17,17.0,17,0,0,0,0,0,0,1,1.7,1.7,96.9%
Darius Powe (FA),2,4,13,6.5,8,0,0,0,0,0,0,1,1.3,1.3,0.1%
Arrelious Benn (FA),1,2,12,12.0,12,0,0,0,0,0,0,4,1.2,0.3,0.0%
Jeff Janis (CLE),2,5,12,6.0,12,0,0,0,0,0,0,7,1.2,0.2,0.1%
Shelton Gibson (PHI),2,3,11,5.5,6,0,0,0,0,0,0,2,1.1,0.6,0.1%
Harry Douglas (FA),1,3,8,8.0,8,0,0,0,0,0,0,1,0.8,0.8,0.0%
Cobi Hamilton (IND),1,6,8,8.0,8,0,0,0,0,0,0,2,0.8,0.4,0.0%
Neal Sterling (NYJ),6,11,82,13.7,35,1,0,0,0,0,0,5,0.8,0.2,0.0%
Kevin White (CHI),2,4,6,3.0,6,0,0,0,0,0,0,1,0.6,0.6,1.4%
Eric Weems (FA),1,2,5,5.0,5,0,0,1,0,0,0,11,0.5,0.0,0.0%
Larry Pinkard (FA),1,1,5,5.0,5,0,0,0,0,0,0,2,0.5,0.3,
