Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,OWN
Stacy Coley (MIN),0,1,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.1%
Robert Tonyan (GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Cody Hollister (NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Austin Carr (NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
Tim Patrick (DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Quincy Adeboyejo (BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Bug Howard (CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Trey Griffey (PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Amba Etta-Tawo (NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Gehrig Dieter (KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
DeAngelo Yancey (GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
Fred Ross (CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
David Moore (SEA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
Brandon Reilly (BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Drew Morgan (MIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Damore'ea Stringfellow (SEA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Malcolm Lewis (MIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
C.J. Board (CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Justin Hardee (NO),0,0,0,0,0,0,0,0,0,0,0,7,0.0,0.0,0.0%
Riley McCarron (NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Andre Patton (LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Marcus Kemp (KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Isaac Whitney (OAK),0,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
Brian Brown (DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Zach Pascal (IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Dontez Ford (DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Montay Crockett (JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Reggie Davis (ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Deante Burton (ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Austin Duke (CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Victor Bolden Jr. (SF),0,0,0,0,0,0,0,0,0,0,0,8,0.0,0.0,0.0%
Carlton Agudosi (ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Cyril Grayson (SEA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Francis Owusu (MIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Greg Ward (PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Colby Pearson (ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Dan Arnold (NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Tim White (BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Lance Lenoir (DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Fred Brown (LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Kermit Whitfield (CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Marvin Bracy (SEA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Rashard Davis (PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Daniel Williams (WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Justice Liggins (LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Justin Thomas (PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
River Cracraft (DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Brandon Zylstra (MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Courtland Sutton (DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8%
James Washington (PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.7%
Anthony Miller (CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.3%
Marcell Ateman (OAK),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
Deontay Burnett (TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Calvin Ridley (ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.0%
Michael Gallup (DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.4%
Jaleel Scott (BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
Tre'Quan Smith (NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1%
Cedrick Wilson (DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
Deon Cain (IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9%
Dante Pettis (SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8%
D.J. Moore (CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.0%
Trey Quinn (WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6%
Jordan Lasley (BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6%
Christian Kirk (ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8%
Jester Weah (HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Antonio Callaway (CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6%
Braxton Berrios (NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7%
J'Mon Moore (GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9%
D.J. Chark (JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8%
Jake Wieneke (MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Korey Robertson (MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Allen Lazard (JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
Simmie Cobbs Jr. (WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Richie James (SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6%
Auden Tate (CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7%
Equanimeous St. Brown (GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0%
Javon Wims (CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
Quadree Henderson (PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Robert Foster (BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
DaeSean Hamilton (DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9%
Steve Ishmael (IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Devonte Boyd (CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Keke Coutee (HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0%
Daurice Fountain (IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6%
Marquez Valdes-Scantling (GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9%
Ray-Ray McCloud (BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
Austin Proehl (BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
Damion Ratley (CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
Dylan Cantrell (LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
Jeff Badet (MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Justin Watson (TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6%
Russell Gage (ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Chris Lacy (DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Adonis Jennings (GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Evan Berry (CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Derrick Willies (CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Da'Mari Scott (CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Darvin Kidsy (WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Andre Levrone (BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
George Odum (IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Vyncint Smith (HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Jimmy Williams (DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
J.J. Jones (LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Byron Pringle (KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Dorren Miller (JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Garrett Johnson (CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Teo Redding (DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Brandon Powell (DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Kyle Lewis (GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Sergio Bailey (TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Damoun Patterson (PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Lamar Jordan (ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Christian Blake (ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Dontez Byrd (ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Devin Gray (ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Keith Kirkwood (NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Steven Dunbar (SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Trent Sherfield (ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Corey Willis (ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Jalen Tolliver (ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Steven Mitchell Jr. (LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Ka'Raun White (CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Cam Batson (TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jordan Veasy (TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Devin Ross (TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
John Diarse (DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Saeed Blacknall (OAK),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Anthony Mahoungou (PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Jawill Davis (NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Shay Fields (WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Cam Sims (WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Caleb Scott (SEA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Janarion Grant (BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Chad Beebe (MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Jordan Smallwood (KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Tim Wilson (PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
C.J. Duncan (ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Ricky Jeune (DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Kayaune Ross (CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
Josh Crockett (KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cam Phillips (BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jared Murphy (CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Blake Jackson (CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bryce Bobo (DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mark Chapman (DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Khadarel Hodge (LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Malik Turner (SEA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Aaron Lacombe (LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Darren Andrews (NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Austin Wolf (ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Darren Carrington II (DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Darius Prince (PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Allenzae Staggers (WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Julian Williams (ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Isaiah McKenzie (DEN),4,13,29,7.3,14,0,0,1,4,0,2,11,-0.7,-0.1,0.1%
Andre Roberts (NYJ),1,4,12,12.0,12,0,0,0,0,0,1,16,-0.8,-0.1,0.1%
John Ross (CIN),0,2,0,0,0,0,0,1,12,0,1,3,-0.8,-0.3,20.0%
Kalif Raymond (NYG),1,1,12,12.0,12,0,0,1,-1,0,1,8,-0.9,-0.1,0.0%
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
