Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,OWN
Daniel Coats (NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Darcy Johnson (STL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Darnell Dinkins (NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Derek Fine (HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Desmond Clark (CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ernest Wilford (JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Greg Estandia (CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
J.P. Foschi (CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jake Nordin (DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jeff Dugan (MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jerramy Stevens (TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Joe Klopfenstein (BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Joey Haynos (MIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
John Owens (OAK),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
John Phillips (NO),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
Jonathan Stupar (BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Justin Snow (IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Keith Zinger (ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
L.J. Smith (BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Michael Gaines (CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Robert Royal (CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Sean Ryan (TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Steve Heiden (CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Todd Yoder (WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Tony Curtis (PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Tony Stewart (OAK),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Tory Humphrey (NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Marquez Branson (ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
John Nalbone (CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
James Dearth (NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Richard Angulo (CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ryan Purvis (TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Logan Paulsen (ATL),0,2,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
Daniel Hardy (TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Dominique Curry (DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
