Player,Team,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
Chase Edmonds,ARI,59.1,213.1,1.5,18.7,130.9,0.3,0.6,43.8
Corey Grant,JAC,57.3,229.1,1.7,12.9,96.4,0.4,0.8,43.7
Jonathan Stewart,NYG,61.0,249.1,2.1,8.2,52.0,0.2,0.5,42.8
C.J. Prosise,SEA,37.4,137.8,0.9,17.4,183.1,0.6,0.5,40.0
Jalen Richard,OAK,40.0,162.2,1.2,19.8,155.1,0.6,1.2,39.8
Alfred Blue,HOU,49.8,227.2,1.3,8.1,80.3,0.3,0.5,39.4
Charles Sims,TB,31.1,115.7,0.5,23.3,198.6,0.7,0.3,38.2
Travaris Cadet,BUF,47.4,176.8,1.1,15.5,116.4,0.5,0.4,37.9
Elijah McGuire,NYJ,50.8,172.0,1.0,15.6,127.8,0.5,0.9,37.5
James Conner,PIT,57.0,215.0,1.6,6.2,39.9,0.2,0.6,35.0
Kyle Juszczyk,SF,9.0,32.2,0.2,30.1,268.3,1.1,1.5,35.0
De'Angelo Henderson,DEN,51.8,196.2,0.8,9.3,86.2,0.6,1.0,34.8
Jeremy Hill,NE,48.1,187.7,2.0,4.4,32.8,0.1,0.2,34.0
Tavon Austin,DAL,26.4,122.9,0.9,18.9,114.8,0.8,0.1,33.9
Shane Vereen,NO,20.0,126.2,0.9,14.0,122.9,0.4,0.5,31.7
John Kelly,LAR,50.2,194.1,1.0,6.2,53.6,0.2,0.3,31.7
Christine Michael,IND,33.1,148.5,1.0,12.0,68.8,0.4,0.4,29.0
Malcolm Brown,LAR,45.9,186.7,1.1,5.7,42.4,0.1,0.8,28.6
Kapri Bibbs,WAS,14.7,96.2,0.5,11.7,121.5,0.6,0.4,27.9
James Summers,PIT,0.0,146.1,1.0,0.0,60.8,0.3,0.4,27.9
Jarveon Williams,CIN,0.0,142.2,1.0,0.0,60.3,0.3,0.4,27.5
Kalen Ballage,MIA,38.6,149.4,0.9,9.1,68.3,0.3,0.7,27.5
Jonathan Williams,NO,41.9,160.5,1.3,6.9,55.0,0.0,1.2,27.2
Robert Turbin,IND,37.7,132.4,1.0,7.8,62.7,0.2,0.4,25.8
Joe Williams,SF,28.5,109.7,0.9,10.2,76.1,0.3,0.3,25.5
Cameron Artis-Payne,CAR,38.4,154.2,1.0,7.3,47.9,0.2,1.1,25.0
DeAndre Washington,OAK,27.3,99.5,0.7,11.1,80.2,0.5,0.2,24.9
Jarvion Franklin,PIT,0.0,130.6,1.0,0.0,47.7,0.3,0.4,24.3
Justin Jackson,LAC,31.3,132.8,0.8,5.9,51.0,0.2,0.3,24.1
Ameer Abdullah,DET,32.8,115.0,0.9,7.9,60.0,0.3,0.3,23.9
Thomas Rawls,NYJ,41.6,145.7,0.9,4.9,40.4,0.1,0.8,23.3
T.J. Logan,ARI,26.6,121.0,0.7,8.9,56.4,0.2,0.2,23.2
Mark Walton,CIN,32.3,136.7,0.7,5.8,54.4,0.2,0.8,22.8
Jacquizz Rodgers,TB,36.4,127.1,0.9,6.3,43.5,0.1,0.3,22.3
Brandon Radcliff,MIA,0.0,105.5,0.8,0.0,59.3,0.3,0.4,22.2
Mike Gillislee,NE,26.9,108.0,1.1,4.9,41.5,0.2,0.3,22.1
