Player,Team,REC,YDS,TDS,ATT,YDS,TDS,FL,FPTS
Travis Benjamin,LAC,31.6,495.7,3.0,6.2,40.8,0.1,0.6,70.6
Terrance Williams,DAL,42.1,515.2,2.9,1.4,7.5,0.0,0.3,68.9
Anthony Miller,CHI,42.0,509.8,2.9,0.4,2.4,0.0,0.4,68.2
Courtland Sutton,DEN,40.8,502.3,2.9,0.4,3.0,0.0,0.4,67.4
Corey Coleman,BUF,36.2,491.1,3.0,0.4,2.6,0.0,0.3,66.8
Mike Williams,LAC,40.1,471.9,3.3,0.0,0.6,0.0,0.2,66.8
Christian Kirk,ARI,42.0,502.8,2.6,0.6,3.2,0.0,0.3,65.8
James Washington,PIT,31.6,468.8,3.0,0.4,2.8,0.0,0.4,64.5
Geronimo Allison,GB,38.0,467.0,3.1,0.0,0.0,0.0,0.8,63.7
Michael Gallup,DAL,37.8,449.3,3.0,0.4,3.6,0.0,0.4,62.7
Donte Moncrief,JAC,30.8,424.7,3.4,0.1,0.3,0.0,0.2,62.6
Taywan Taylor,TEN,37.8,441.8,2.4,4.4,24.2,0.1,0.2,61.1
Brandon Marshall,SEA,36.3,435.2,2.8,0.0,0.2,0.0,0.2,60.0
Dede Westbrook,JAC,37.2,439.1,2.7,0.0,0.0,0.0,0.2,59.8
Albert Wilson,MIA,38.1,445.9,2.3,1.9,11.2,0.1,0.2,59.7
Cole Beasley,DAL,42.2,423.4,2.6,0.1,0.6,0.0,0.2,57.4
J.J. Nelson,ARI,25.6,409.0,2.2,2.5,22.5,0.1,0.7,55.3
Adam Humphries,TB,37.9,431.4,2.0,1.1,5.9,0.0,0.5,54.6
Tyler Boyd,CIN,32.6,410.4,2.3,0.5,6.0,0.0,0.4,54.5
Chester Rogers,IND,31.5,403.9,2.1,2.0,8.7,0.0,0.2,53.8
Trent Taylor,SF,35.4,411.8,2.3,0.0,0.0,0.0,0.9,53.2
Willie Snead,BAL,40.6,416.1,1.9,0.0,0.0,0.0,0.5,51.9
Taylor Gabriel,CHI,29.6,375.2,2.0,2.8,16.9,0.1,0.2,50.8
Antonio Callaway,CLE,32.2,376.3,2.1,0.4,2.8,0.0,0.4,50.1
Terrelle Pryor,NYJ,32.2,378.5,1.9,1.3,5.2,0.1,0.2,49.8
Kendall Wright,MIN,31.4,372.4,1.9,0.0,1.0,0.0,0.2,48.1
Tre'Quan Smith,NO,29.0,345.5,2.2,1.0,7.5,0.1,0.5,48.0
Zay Jones,BUF,28.6,346.8,2.0,0.0,0.2,0.0,0.2,46.2
Brice Butler,ARI,23.6,335.4,2.0,0.0,0.0,0.0,0.2,45.5
Kenny Britt,NE,0.0,327.8,2.1,0.0,0.0,0.0,0.2,44.8
Jaron Brown,SEA,21.6,306.9,2.4,0.0,0.0,0.0,0.2,44.7
Eric Decker,NE,29.9,329.2,2.0,0.0,0.0,0.0,0.2,44.7
Tavon Austin,DAL,21.8,203.1,0.7,35.9,201.8,0.8,2.7,44.3
Torrey Smith,CAR,24.5,329.9,1.9,0.5,0.6,0.0,0.2,43.9
Bruce Ellington,HOU,23.9,315.8,1.5,1.8,10.0,0.0,0.4,40.8
Cordarrelle Patterson,NE,20.7,225.4,1.2,10.1,81.7,0.6,0.4,40.7
Seth Roberts,OAK,31.3,327.2,1.7,0.0,0.0,0.0,1.2,40.5
TJ Jones,DET,22.7,301.7,1.6,0.0,0.0,0.0,0.2,39.5
Cody Latimer,NYG,22.5,289.5,1.5,0.0,0.0,0.0,0.3,37.6
Laquon Treadwell,MIN,23.7,271.6,1.6,0.0,0.0,0.0,0.2,36.4
Chris Conley,KC,20.7,274.4,1.4,0.0,0.0,0.0,0.2,35.3
Curtis Samuel,CAR,21.1,234.9,1.2,5.2,45.5,0.1,0.3,35.3
Keke Coutee,HOU,20.9,268.4,1.4,0.5,4.0,0.0,0.4,34.9
Phillip Dorsett,NE,17.7,244.0,1.5,0.7,3.4,0.0,0.2,33.5
Tre McBride,NYJ,20.0,277.0,0.9,1.0,6.0,0.0,0.5,32.7
Colby Pearson,ATL,0.0,237.9,1.6,0.0,0.0,0.0,0.3,32.5
Dante Pettis,SF,18.5,250.4,1.3,0.5,3.5,0.0,0.3,32.5
Chad Williams,ARI,20.9,231.4,1.2,2.2,21.8,0.0,0.3,32.3
Mack Hollins,PHI,17.9,236.4,1.5,0.0,0.0,0.0,0.3,31.9
Seth DeValve,CLE,0.0,231.6,1.3,0.0,0.0,0.0,0.2,30.8
Justin Hardy,ATL,17.8,215.9,1.5,0.1,0.6,0.0,0.2,30.4
Jeremy Kerley,BUF,22.3,251.3,1.1,0.0,0.0,0.0,0.7,30.3
Aldrick Robinson,SF,18.1,246.6,0.9,0.0,0.0,0.0,0.4,29.2
D.J. Chark,JAC,16.6,220.2,1.2,0.5,4.5,0.0,0.3,29.2
Braxton Miller,HOU,19.3,203.7,1.2,1.5,6.5,0.1,0.2,28.1
Keon Hatcher,OAK,0.0,203.0,1.3,0.0,0.0,0.0,0.3,27.8
Trent Sherfield,ARI,0.0,196.0,1.3,0.0,0.0,0.0,0.3,26.8
Cayleb Jones,MIN,0.0,195.2,1.3,0.0,0.0,0.0,0.3,26.8
J'Mon Moore,GB,14.0,195.7,1.2,0.5,3.3,0.0,0.3,26.7
DaeSean Hamilton,DEN,14.4,200.4,1.1,0.7,5.0,0.0,0.4,26.7
Roger Lewis,NYG,15.6,206.7,1.1,0.0,0.0,0.0,0.3,26.5
Kevin White,CHI,18.7,219.2,0.8,0.6,4.0,0.0,0.4,26.4
Daurice Fountain,IND,13.9,186.6,1.3,0.0,0.3,0.0,0.1,26.0
D.J. Foster,ARI,0.0,206.8,1.0,0.0,0.0,0.0,0.6,25.2
J.D. McKissic,SEA,6.0,160.8,0.7,8.0,33.0,0.3,0.3,24.9
Caleb Scott,SEA,0.0,177.6,1.2,0.0,0.0,0.0,0.3,24.2
Bennie Fowler,CHI,13.0,168.4,1.2,0.0,0.0,0.0,0.3,23.4
Fred Brown,LAR,0.0,170.6,1.1,0.0,0.0,0.0,0.2,23.4
Jakeem Grant,MIA,12.1,182.7,1.1,2.1,7.5,0.0,1.4,23.0
DeAngelo Yancey,GB,12.0,192.3,0.7,0.0,0.0,0.0,0.3,23.0
Tajae Sharpe,TEN,9.6,178.1,0.9,0.0,0.1,0.0,0.2,22.8
Rashard Higgins,CLE,10.7,165.8,1.1,0.0,0.3,0.0,0.3,22.7
Breshad Perriman,BAL,13.9,174.9,0.9,0.1,0.7,0.0,0.2,22.3
Josh Reynolds,LAR,12.9,159.6,1.1,0.0,0.0,0.0,0.3,21.6
Deonte Thompson,DAL,12.6,166.5,0.8,0.6,2.3,0.0,0.2,21.1
Cyril Grayson,SEA,0.0,154.0,1.0,0.0,0.0,0.0,0.3,21.0
Trey Griffey,PIT,0.0,154.7,1.0,0.0,0.0,0.0,0.3,20.9
Chris Moore,BAL,11.7,150.0,0.9,1.9,5.4,0.0,0.2,20.9
Jalen Tolliver,ARI,0.0,150.5,1.0,0.0,0.0,0.0,0.3,20.8
Andre Holmes,BUF,13.4,154.0,0.9,0.0,0.0,0.0,0.2,20.5
Russell Shepard,NYG,13.2,161.2,0.7,0.5,0.5,0.0,0.2,20.2
Cody Hollister,NE,0.0,146.6,1.0,0.0,0.0,0.0,0.3,19.9
Demarcus Robinson,KC,13.4,151.4,0.8,0.0,0.1,0.0,0.1,19.8
Brian Quick,WAS,12.8,160.4,0.6,0.0,0.0,0.0,0.3,19.0
Cobi Hamilton,IND,10.9,140.6,0.8,0.0,0.0,0.0,0.1,18.5
KD Cannon,DAL,0.0,134.9,0.9,0.0,0.0,0.0,0.2,18.4
Marcus Tucker,PIT,0.0,132.2,0.9,0.0,0.0,0.0,0.2,18.0
Kendrick Bourne,SF,6.6,151.1,0.5,0.0,0.0,0.0,0.2,17.8
Ryan Switzer,OAK,11.9,137.6,0.7,0.7,1.7,0.0,0.3,17.5
Lamar Jordan,ATL,0.0,125.4,0.9,0.0,0.0,0.0,0.3,17.5
Jordan Taylor,DEN,7.7,134.7,0.7,0.0,0.0,0.0,0.2,17.5
Auden Tate,CIN,4.0,127.8,0.8,0.0,1.0,0.0,0.2,17.4
Josh Bellamy,CHI,8.9,132.5,0.7,0.5,2.7,0.0,0.1,17.3
Rashard Davis,PHI,0.0,125.9,0.8,0.0,0.0,0.0,0.2,17.0
Brandon Reilly,BUF,4.0,121.8,0.8,0.0,2.0,0.0,0.1,16.7
Dylan Cantrell,LAC,4.0,120.4,0.8,0.0,1.0,0.0,0.1,16.7
Equanimeous St. Brown,GB,5.5,126.8,0.7,0.0,0.5,0.0,0.2,16.6
Hunter Sharp,NYG,6.5,99.6,1.0,0.0,0.4,0.0,0.2,15.6
Malachi Dupre,BUF,0.0,113.5,0.8,0.0,0.0,0.0,0.2,15.4
Jarius Wright,CAR,5.5,116.7,0.7,0.0,0.3,0.0,0.1,15.3
Eli Rogers,PIT,11.0,128.0,0.8,0.0,0.5,0.0,1.2,15.3
ArDarius Stewart,NYJ,9.0,112.2,0.5,1.5,6.7,0.0,0.1,14.9
Amara Darboh,SEA,9.0,107.4,0.6,0.0,0.0,0.0,0.1,14.1
Trevor Davis,GB,7.1,103.4,0.7,0.7,4.8,0.0,0.5,13.9
Michael Campanaro,TEN,6.2,100.5,0.6,1.1,8.5,0.0,0.2,13.9
Reggie Davis,ATL,4.0,100.3,0.6,0.0,1.0,0.0,0.1,13.7
Darrius Heyward-Bey,PIT,7.0,100.9,0.4,0.7,7.4,0.1,0.1,13.6
Damiere Byrd,CAR,7.2,98.8,0.6,0.3,2.0,0.0,0.1,13.4
Tavarres King,MIN,7.0,98.2,0.6,0.6,1.3,0.0,0.1,13.0
Paul Turner,NE,7.7,92.8,0.6,0.0,0.0,0.0,0.0,12.9
Jordan Lasley,BAL,8.5,96.0,0.5,0.0,0.5,0.0,0.0,12.7
Kamar Aiken,PHI,7.0,89.0,0.6,0.0,0.0,0.0,0.0,12.5
Sammie Coates,HOU,4.8,93.5,0.5,0.5,1.4,0.0,0.1,12.4
Travis Rudolph,NYG,7.7,98.3,0.4,0.0,0.0,0.0,0.1,12.0
Michael Floyd,NO,7.4,82.5,0.6,0.0,0.0,0.0,0.1,11.8
Josh Malone,CIN,4.7,85.4,0.5,0.7,1.5,0.0,0.2,11.2
Bobo Wilson,TB,6.2,82.9,0.5,0.2,0.1,0.0,0.0,11.2
Isaac Whitney,OAK,4.4,87.6,0.5,0.0,0.0,0.0,0.2,11.2
Isaiah McKenzie,DEN,5.5,91.6,0.5,0.4,1.8,0.0,0.6,11.1
Rod Streater,BUF,6.5,83.8,0.4,0.0,0.0,0.0,0.0,11.0
Johnny Holton,OAK,5.4,83.4,0.6,0.3,1.3,0.0,0.7,10.5
Justin Hunter,PIT,3.9,52.5,0.9,0.0,0.3,0.0,0.1,10.3
Kasen Williams,IND,8.0,90.0,0.2,0.0,1.0,0.0,0.1,10.1
Matt Slater,NE,4.9,63.4,0.6,0.1,-0.1,0.0,0.0,10.1
Jordan Leslie,DEN,5.2,70.9,0.5,0.0,0.0,0.0,0.0,10.0
DeAndre Smelter,JAC,5.6,72.3,0.5,0.0,0.0,0.0,0.0,10.0
Brandon Tate,NO,4.0,61.3,0.6,0.0,3.6,0.0,0.1,10.0
James Wright,IND,6.2,74.0,0.4,0.0,0.0,0.0,0.0,9.9
Darius Jennings,TEN,5.9,71.0,0.5,0.0,0.0,0.0,0.0,9.8
Lucky Whitehead,NYJ,5.9,67.4,0.4,0.4,2.9,0.0,0.0,9.4
Braxton Berrios,NE,5.0,69.0,0.4,0.0,1.0,0.0,0.0,9.4
Jake Lampman,TB,5.7,72.1,0.4,0.0,0.0,0.0,0.0,9.4
Maurice Harris,WAS,5.1,67.4,0.5,0.0,0.0,0.0,0.1,9.3
Seantavius Jones,IND,5.5,67.5,0.4,0.0,0.0,0.0,0.0,9.2
Austin Carr,NO,5.0,67.0,0.4,0.0,1.0,0.0,0.0,9.2
Cody Core,CIN,8.4,87.1,0.1,0.0,0.0,0.0,0.1,9.2
Leonte Carroo,MIA,7.1,82.8,0.2,0.0,0.3,0.0,0.1,9.1
DeVier Posey,BAL,5.4,68.0,0.4,0.0,0.0,0.0,0.0,9.1
Geremy Davis,LAC,4.7,64.2,0.4,0.0,0.5,0.0,0.0,9.0
Carlos Henderson,DEN,5.5,70.0,0.4,0.0,0.5,0.0,0.1,9.0
Marquez Valdes-Scantling,GB,5.0,58.0,0.5,0.0,1.0,0.0,0.0,8.9
Jace Billingsley,DET,5.5,70.9,0.3,0.0,0.0,0.0,0.0,8.8
Byron Marshall,WAS,5.5,67.1,0.4,0.0,0.0,0.0,0.0,8.8
Krishawn Hogan,IND,5.3,63.3,0.4,0.0,0.0,0.0,0.0,8.8
Jaydon Mickens,JAC,4.0,51.1,0.8,0.0,0.0,0.0,0.7,8.7
Mike Thomas,LAR,4.9,87.1,0.1,0.0,0.0,0.0,0.2,8.7
Daniel Braverman,KC,5.0,57.5,0.5,0.0,0.0,0.0,0.0,8.7
Marlon Brown,CHI,5.5,68.3,0.3,0.0,0.0,0.0,0.0,8.6
Richie James,SF,5.0,69.0,0.3,0.0,1.0,0.0,0.1,8.6
Pharoh Cooper,LAR,8.4,80.7,0.2,0.2,3.6,0.0,0.7,8.5
